name,age,position,school,draft_pick,season,games,recs,recYDS,recTDS,rushAttempts,rushYards,rushTDS
Amari Cooper,21,WR,Alabama,4.0,2012*,14.0,59.0,1000.0,11.0,0.0,0.0,0.0
Amari Cooper,21,WR,Alabama,4.0,2013*,11.0,45.0,736.0,4.0,1.0,28.0,0.0
Amari Cooper,21,WR,Alabama,4.0,2014*,14.0,124.0,1727.0,16.0,5.0,23.0,0.0
Amari Cooper,21,WR,,,,16.0,72.0,1070.0,6.0,,,
Kevin White,23,WR,West Virginia,7.0,2013,10.0,35.0,507.0,5.0,0.0,0.0,0.0
Kevin White,23,WR,West Virginia,7.0,2014*,13.0,109.0,1447.0,10.0,0.0,0.0,0.0
Kevin White,23,WR,,,,4.0,19.0,187.0,0.0,,,
DeVante Parker,22,WR,Louisville,14.0,2011*,11.0,18.0,291.0,6.0,0.0,0.0,0.0
DeVante Parker,22,WR,Louisville,14.0,2012*,13.0,40.0,744.0,10.0,0.0,0.0,0.0
DeVante Parker,22,WR,Louisville,14.0,2013*,12.0,55.0,885.0,12.0,0.0,0.0,0.0
DeVante Parker,22,WR,Louisville,14.0,2014*,7.0,43.0,855.0,5.0,0.0,0.0,0.0
DeVante Parker,22,WR,,,,14.0,26.0,494.0,3.0,,,
Nelson Agholor,22,WR,USC,20.0,2012*,13.0,18.0,341.0,2.0,1.0,7.0,0.0
Nelson Agholor,22,WR,USC,20.0,2013*,14.0,56.0,918.0,6.0,2.0,8.0,0.0
Nelson Agholor,22,WR,USC,20.0,2014*,13.0,104.0,1313.0,12.0,4.0,3.0,0.0
Nelson Agholor,22,WR,,,,13.0,23.0,283.0,1.0,,,
Breshad Perriman,21,WR,Central Florida,26.0,2012*,14.0,26.0,388.0,3.0,0.0,0.0,0.0
Breshad Perriman,21,WR,Central Florida,26.0,2013*,12.0,39.0,811.0,4.0,0.0,0.0,0.0
Breshad Perriman,21,WR,Central Florida,26.0,2014*,13.0,50.0,1044.0,9.0,1.0,0.0,0.0
Breshad Perriman,21,WR,,,,16.0,33.0,499.0,3.0,,,
Phillip Dorsett,22,WR,Miami (FL),29.0,2011,12.0,14.0,147.0,1.0,0.0,0.0,0.0
Phillip Dorsett,22,WR,Miami (FL),29.0,2012,12.0,58.0,842.0,4.0,5.0,8.0,0.0
